Name,Disaster,Begin_Date,Month,Day,Year,End_Date,CPI_Adjusted_Cost,Deaths
Southern Severe Storms and Flooding (April 1980),Flooding,19800410,4,10,1980,19800417,2487.8,7
Hurricane Allen (August 1980),Tropical Cyclone,19800807,8,7,1980,19800811,2076.8,13
Central/Eastern Drought/Heatwave (Summer-Fall 1980),Drought,19800601,6,1,1980,19801130,35270.4,1260
Florida Freeze (January 1981),Freeze,19810112,1,12,1981,19810114,1796.1,0
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,19810505,5,5,1981,19810510,1260.4,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,1,8,1982,19820116,1920.2,85
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,19820402,4,2,1982,19820404,1401.8,33
Severe Storms (June 1982),Severe Storm,19820531,5,31,1982,19820610,1391.8,30
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,19821201,12,1,1982,19830115,4454.6,45
Western Storms and Flooding (December 1982-March 1983),Flooding,19821213,12,13,1982,19830331,4348.9,50
Hurricane Alicia (August 1983),Tropical Cyclone,19830817,8,17,1983,19830820,8400,21
Southeast Drought (Summer 1983),Drought,19830601,6,1,1983,19830831,8299.4,0
Freeze / Coldwave (December 1983),Freeze,19831215,12,15,1983,19831225,5616.2,151
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,19840327,3,27,1984,19840407,1616.2,80
Severe Storms and Hail (June 1984),Severe Storm,19840613,6,13,1984,19840617,1195.8,1
Florida Freeze (January 1985),Freeze,19850120,1,20,1985,19850122,3108,0
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,1,19,1985,19850122,2168,150
Hurricane Elena (September 1985),Tropical Cyclone,19850830,8,30,1985,19850903,3360.3,4
Hurricane Gloria (September 1985),Tropical Cyclone,19850926,9,26,1985,19850928,2217.2,11
Hurricane Juan (October 1985),Tropical Cyclone,19851027,10,27,1985,19851031,3876.5,63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,19851103,11,3,1985,19851108,3514,62
Western Severe Storms and Flooding (February 1986),Severe Storm,19860214,2,14,1986,19860216,1324.6,13
Southeast Drought/Heatwave (Summer 1986),Drought,19860601,6,1,1986,19860831,4509.1,100
U.S. Drought/Heatwave (Summer 1988),Drought,19880601,6,1,1988,19880831,47209.2,454
Severe Storms (May 1989),Severe Storm,19890501,5,1,1989,19890506,1246.4,21
Hurricane Hugo (September 1989),Tropical Cyclone,19890921,9,21,1989,19890922,20339.8,86
Northern Plains Drought (Summer-Fall 1989),Drought,19890601,6,1,1989,19891130,6787.1,0
Florida Freeze (December 1989),Freeze,19891223,12,23,1989,19891225,4520,10
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,12,21,1989,19891226,1537.2,100
Southern Flooding (May 1990),Flooding,19900511,5,11,1990,19900519,2164.9,13
